都市,年,月,日,平均湿度_%,最高湿度_%,最低湿度_%,観測時間数
ハワイ,2024,1,1,73.28394681687465,96.34196017527373,47.523510286184326,64
ハワイ,2024,1,2,70.3194873334978,83.98126219125285,54.5512362640319,65
ハワイ,2024,1,3,74.55661439369281,100.0,54.5512362640319,65
ハワイ,2024,1,4,80.3885323974975,100.0,56.242779279562995,64
ハワイ,2024,1,5,81.671717861833,100.0,66.58279061746988,64
ハワイ,2024,1,6,82.49043750594747,96.92958640223608,64.53842356058041,67
ハワイ,2024,1,7,86.1785312117459,97.01743435415038,64.53842356058041,85
ハワイ,2024,1,8,89.15485247117955,100.0,69.11089466763667,113
ハワイ,2024,1,9,85.45679485658916,100.0,59.739229067022684,95
ハワイ,2024,1,10,76.24503045789112,96.9041104143917,51.91083988501952,64
ハワイ,2024,2,1,79.05357438881856,96.38790496864459,51.91083988501952,71
ハワイ,2024,2,2,67.72785441947377,94.05695924265345,43.07569166474684,71
ハワイ,2024,2,3,54.75307386633928,67.5934964280168,43.07569166474684,64
ハワイ,2024,2,4,59.1125798815735,75.78318135610579,44.532209192896566,64
ハワイ,2024,2,5,59.69667831366538,75.78318135610579,44.999662888268986,64
ハワイ,2024,2,6,58.67021770788265,70.47009868536232,48.47997761540694,64
ハワイ,2024,2,7,60.10006113263296,75.95921473818542,45.43575614776927,64
ハワイ,2024,2,8,67.27587577057966,93.38386352969982,45.43575614776927,66
ハワイ,2024,2,9,76.42050085544561,93.43702684072652,45.43575614776927,66
ハワイ,2024,2,10,77.43995583388954,93.43702684072652,57.993775327158346,64
ハワイ,2024,3,1,63.856809699251606,75.95921473818542,46.79198249213552,63
ハワイ,2024,3,2,64.12062741858925,81.43524211974864,45.29987921468761,64
ハワイ,2024,3,3,68.14830498541615,93.46575859578415,45.29987921468761,66
ハワイ,2024,3,4,68.74069291170906,93.46575859578415,47.2296984734211,68
ハワイ,2024,3,5,65.65419942054439,78.56575831928144,50.10527282433236,66
ハワイ,2024,3,6,67.50789512675419,87.25510563115304,48.47997761540694,63
ハワイ,2024,3,7,68.04940711850139,87.25510563115304,48.47997761540694,63
ハワイ,2024,3,8,63.09736868095825,78.40682670797871,48.63947277315558,64
ハワイ,2024,3,9,62.725464449767685,71.01393530885929,48.63947277315558,64
ハワイ,2024,3,10,64.53335407789086,73.3021969593146,53.950761624531864,64
ハワイ,2024,4,1,64.77748169032662,84.10336829604624,47.523510286184326,51
ハワイ,2024,4,2,63.07442894150863,78.56575831928144,47.523510286184326,58
ハワイ,2024,4,3,63.60600118773819,78.56575831928144,48.9304172885286,64
ハワイ,2024,4,4,64.00517145010298,78.40682670797871,48.9304172885286,64
ハワイ,2024,4,5,66.95440340183968,84.0369327694218,48.9304172885286,64
ハワイ,2024,4,6,73.54082371251042,89.93964770804598,50.3941150957667,66
ハワイ,2024,4,7,68.57450655269174,89.93964770804598,46.027566776351584,66
ハワイ,2024,4,8,61.13686644332807,75.95921473818542,46.027566776351584,64
ハワイ,2024,4,9,63.56354717032163,80.85816533417108,47.2296984734211,64
ハワイ,2024,4,10,66.8844801514927,80.85816533417108,47.2296984734211,64
ハワイ,2024,5,1,64.89026297383494,81.71209061946468,49.21947306016981,55
