地域名,気圧日較差_平均,気圧日較差_標準偏差,気圧日較差_最大,気圧日較差_最小,湿度_平均,湿度_標準偏差,湿度_最大,湿度_最小,日照_平均,日照_標準偏差,日照_最大,日照_最小,気圧スコア,湿度スコア,日照スコア,総合スコア,ランク
ハワイ,4.182051282051282,1.2153909109060395,9.899999999999975,2.199999999999932,67.58199816371219,6.620390128912014,89.15485247117955,54.75307386633928,7.652978142076502,1.7014071966569275,10.39,2.13,79.33923950854214,61.47514071789397,100.0,80.17823801878505,1
広島県,4.645000000000008,2.5094728094786403,15.199999999999932,2.199999999999932,61.11423611111111,9.264765853292358,88.45833333333333,41.29166666666666,6.320833333333334,4.1210648830500265,13.4,0.0,66.96368901759826,100.0,62.64642564373657,75.57940330016027,2
岐阜県,5.409166666666675,3.1183651133874837,17.299999999999955,2.200000000000045,63.09981884057971,10.938350856788178,93.79166666666669,37.16666666666666,6.984033613445378,4.209230840669943,13.9,0.0,46.535976832256274,88.17298864373114,81.24267795329769,69.43909071201115,3
大阪府,5.08916666666666,3.0431848595896787,19.09999999999991,2.2999999999999545,64.54444444444444,10.439034434828162,89.45833333333333,43.125,6.5575,4.10717066121389,13.6,0.0,55.09022053909561,79.56815784575298,69.28260053475528,66.69131572979072,4
兵庫県,4.98916666666667,3.177039365770069,20.50000000000012,2.200000000000045,65.79652777777777,10.212890829871009,95.70833333333331,43.958333333333336,6.589075630252101,4.140883184186563,13.6,0.0,57.76342169748251,72.1101942048769,70.16798675157395,65.78882296592826,5
和歌山県,4.8183333333333325,3.140009723619624,19.600000000000023,1.8000000000000682,68.61207082470669,9.710291460454172,92.54166666666669,48.625,6.759166666666667,4.341658588571871,13.6,0.0,62.33014034306071,55.33957110472325,74.93736927991912,64.01513825261699,6
福岡県,4.020833333333334,2.4204276250190104,15.300000000000068,1.5,70.22465277777778,10.936030541322534,96.29166666666669,46.125,6.0285714285714285,4.341017276254044,13.2,0.0,83.64891958119836,45.73431780107964,54.451350514234065,63.51526832707346,7
愛知県,5.34333333333333,3.1067217268296177,17.0,2.2999999999999545,67.24895833333333,10.826703506905844,96.91666666666669,42.458333333333336,7.0633333333333335,4.12823712214968,13.8,0.0,48.29583426152813,63.45887365307854,83.46625602365798,63.39587260763221,8
長崎県,4.009166666666678,2.342124146625729,14.0,1.3999999999999773,69.71979166666667,10.41814550076868,90.875,45.16666666666666,5.65798319327731,4.2541006298872,12.3,0.0,83.96079304967658,48.74149448822158,44.059991322829426,61.42476296318594,9
香川県,4.727499999999996,2.8298814447952823,17.200000000000045,2.0,69.13819444444445,10.254929218504277,94.125,49.375,6.382352941176471,4.1430899600117,13.5,0.0,64.75829806192915,52.205745486132635,64.3714462502462,60.87647674568531,10
熊本県,4.3824999999999985,2.1910307040793584,13.199999999999932,1.8999999999999773,69.95138888888889,10.802451854802179,94.70833333333331,46.25,6.052499999999999,4.132144182651241,12.6,0.0,73.98084205836481,47.36199871771012,55.122311858849116,60.337629996313694,11
徳島県,4.784999999999999,3.017947713821647,17.899999999999977,2.0,70.5724788647343,10.798444989823642,99.29166666666669,50.04166666666666,6.668067226890757,4.2558022759981915,13.5,0.0,63.22120739585643,43.66251136391233,72.3829249919187,60.10211386509188,12
佐賀県,4.3075000000000045,2.323398065641906,14.700000000000044,1.7000000000000457,70.56979166666666,10.49616882789186,95.83333333333331,44.625,5.973109243697478,4.14014446401088,12.8,0.0,75.98574292715503,43.67851750739392,52.8961811114388,59.36670675651183,13
鹿児島県,4.153333333333335,2.053606515349989,13.899999999999975,1.7000000000000457,72.74842171717172,10.231664740192816,96.04166666666669,49.91666666666666,6.2316666666666665,4.143983861080584,12.9,0.0,80.10692804633533,30.70163068922143,60.14617665310627,59.297113421232446,14
群馬県,6.246666666666668,3.107241023594967,18.200000000000045,2.400000000000091,62.14722222222222,13.017746197991372,92.33333333333331,32.625,6.5441666666666665,4.158918650531252,13.2,0.0,24.1479171307639,93.8470765857997,68.90873152681056,58.485909286088635,15
大分県,4.299166666666671,2.39910683076727,13.800000000000068,1.7999999999999543,72.19840277777777,11.929971872138685,99.33333333333331,50.458333333333336,6.1575,4.440771045549591,13.1,0.0,76.20850969035398,33.977787429422406,58.066530296413774,58.09669919389245,16
三重県,5.215000000000004,3.1499673200919247,17.700000000000045,2.200000000000045,70.14785628019324,12.531969485014073,97.20833333333331,43.04166666666666,6.8277310924369745,4.103490130256172,13.7,0.0,51.726442414791464,46.19175180046635,76.85992781814744,57.60608085150072,17
宮崎県,4.427499999999998,2.4961470309258633,15.5,1.400000000000091,74.96388888888889,11.66238408459309,95.58333333333331,46.375,6.701666666666667,4.467285065265226,13.7,0.0,72.77790153709059,17.50532563959385,73.32505918315753,56.36027606166165,18
京都府,5.268333333333343,2.9256036749267853,17.800000000000068,2.200000000000045,66.48715277777778,9.957451784981219,92.45833333333331,41.875,5.909166666666667,3.9411425173084886,13.2,0.0,50.30073513031815,67.99652540795434,51.10322002344344,55.8502176815466,19
愛媛県,4.387499999999998,2.5952627334168206,16.5,1.8000000000000682,74.65902777777778,10.114955484018024,94.25,48.16666666666666,6.381666666666666,4.635068796155892,13.0,0.0,73.84718200044546,19.321213625364535,64.35220299248431,54.640897785532836,20
