都道府県,年,月,日,日較差_hPa,最高気圧_hPa,最低気圧_hPa,平均気圧_hPa,観測時間数
北海道,2024,1,1,9.500000000000114,1024.4,1014.9,1022.1625,24
北海道,2024,1,2,10.399999999999975,1021.9,1011.5,1015.35,24
北海道,2024,1,3,3.6000000000000227,1016.7,1013.1,1015.5875,24
北海道,2024,1,4,3.5,1018.8,1015.3,1017.025,24
北海道,2024,1,5,11.299999999999956,1018.3,1007.0,1012.0458333333332,24
北海道,2024,1,6,3.5,1010.1,1006.6,1009.0083333333332,24
北海道,2024,1,7,3.3999999999999773,1006.0,1002.6,1004.0666666666666,24
北海道,2024,1,8,11.800000000000068,1017.2,1005.4,1012.7833333333332,24
北海道,2024,1,9,8.600000000000023,1016.5,1007.9,1011.2083333333331,24
北海道,2024,1,10,8.300000000000068,1017.2,1008.9,1012.6625,24
北海道,2024,2,1,9.5,1018.6,1009.1,1013.6916666666666,24
北海道,2024,2,2,4.7000000000000455,1022.5,1017.8,1019.2708333333334,24
北海道,2024,2,3,4.399999999999864,1026.6,1022.2,1024.2958333333331,24
北海道,2024,2,4,4.199999999999932,1023.8,1019.6,1021.1333333333336,24
北海道,2024,2,5,3.599999999999909,1027.1,1023.5,1025.1333333333334,24
北海道,2024,2,6,5.600000000000023,1023.9,1018.3,1021.7333333333332,24
北海道,2024,2,7,4.399999999999977,1017.5,1013.1,1014.9625000000004,24
北海道,2024,2,8,4.399999999999977,1015.9,1011.5,1013.4333333333334,24
北海道,2024,2,9,4.0,1020.2,1016.2,1018.8375,24
北海道,2024,2,10,5.100000000000023,1019.6,1014.5,1017.0833333333331,24
北海道,2024,3,1,19.600000000000023,1018.0,998.4,1005.5666666666666,24
北海道,2024,3,2,8.0,1006.8,998.8,1002.7749999999996,24
北海道,2024,3,3,3.6000000000000227,1011.0,1007.4,1009.8249999999998,24
北海道,2024,3,4,7.400000000000091,1018.2,1010.8,1013.8833333333332,24
北海道,2024,3,5,2.2999999999999545,1020.4,1018.1,1019.0,24
北海道,2024,3,6,4.399999999999977,1018.0,1013.6,1015.725,24
北海道,2024,3,7,1.900000000000091,1016.7,1014.8,1015.675,24
北海道,2024,3,8,6.0,1016.5,1010.5,1012.8708333333336,24
北海道,2024,3,9,6.800000000000068,1016.6,1009.8,1012.6999999999998,24
北海道,2024,3,10,4.600000000000023,1021.6,1017.0,1019.8333333333331,24
北海道,2024,4,1,3.7999999999999545,1007.8,1004.0,1006.1958333333332,24
北海道,2024,4,2,9.800000000000068,1016.7,1006.9,1012.0416666666669,24
北海道,2024,4,3,5.0,1016.5,1011.5,1014.0916666666668,24
北海道,2024,4,4,6.100000000000023,1015.1,1009.0,1010.845833333333,24
北海道,2024,4,5,5.2000000000000455,1020.2,1015.0,1017.2125,24
北海道,2024,4,6,3.5,1021.3,1017.8,1019.5875,24
北海道,2024,4,7,4.0,1019.0,1015.0,1017.0,24
北海道,2024,4,8,3.099999999999909,1018.8,1015.7,1016.9916666666664,24
北海道,2024,4,9,5.699999999999932,1018.4,1012.7,1015.7708333333334,24
北海道,2024,4,10,7.899999999999977,1026.8,1018.9,1022.775,24
北海道,2024,5,1,10.5,1015.6,1005.1,1010.183333333333,24
北海道,2024,5,2,3.800000000000068,1017.2,1013.4,1015.225,24
北海道,2024,5,3,7.800000000000068,1017.1,1009.3,1012.1708333333332,24
北海道,2024,5,4,2.700000000000045,1019.6,1016.9,1018.3166666666668,24
北海道,2024,5,5,4.399999999999977,1019.1,1014.7,1017.0375,24
北海道,2024,5,6,9.700000000000044,1016.1,1006.4,1011.9833333333332,24
北海道,2024,5,7,3.599999999999909,1006.8,1003.2,1004.4333333333334,24
北海道,2024,5,8,7.799999999999954,1014.9,1007.1,1010.8708333333332,24
北海道,2024,5,9,4.899999999999977,1015.1,1010.2,1013.0,24
北海道,2024,5,10,7.299999999999954,1018.3,1011.0,1014.5916666666666,24
北海道,2024,6,1,3.0,1012.5,1009.5,1010.6291666666666,24
北海道,2024,6,2,3.5,1014.5,1011.0,1012.3333333333334,24
北海道,2024,6,3,2.3999999999999773,1015.8,1013.4,1014.2708333333336,24
北海道,2024,6,4,3.3999999999999773,1017.9,1014.5,1016.25,24
北海道,2024,6,5,2.2999999999999545,1019.4,1017.1,1017.975,24
北海道,2024,6,6,1.3999999999999773,1020.4,1019.0,1019.7625000000002,24
北海道,2024,6,7,4.0,1019.9,1015.9,1017.7583333333332,24
