都市,年,月,日,推定日照時間_h
ハワイ,2024,1,1,33.5
ハワイ,2024,1,2,33.5
ハワイ,2024,1,3,33.5
ハワイ,2024,1,4,33.0
ハワイ,2024,1,5,33.0
ハワイ,2024,1,6,34.5
ハワイ,2024,1,7,43.5
ハワイ,2024,1,8,57.5
ハワイ,2024,1,9,48.5
ハワイ,2024,1,10,33.0
ハワイ,2024,2,1,37.0
ハワイ,2024,2,2,36.5
ハワイ,2024,2,3,33.0
ハワイ,2024,2,4,33.0
ハワイ,2024,2,5,33.0
ハワイ,2024,2,6,33.0
ハワイ,2024,2,7,33.0
ハワイ,2024,2,8,34.0
ハワイ,2024,2,9,34.0
ハワイ,2024,2,10,33.0
ハワイ,2024,3,1,33.0
ハワイ,2024,3,2,33.0
ハワイ,2024,3,3,34.0
ハワイ,2024,3,4,35.0
ハワイ,2024,3,5,34.0
ハワイ,2024,3,6,32.5
ハワイ,2024,3,7,32.5
ハワイ,2024,3,8,33.0
ハワイ,2024,3,9,33.0
ハワイ,2024,3,10,33.0
ハワイ,2024,4,1,27.0
ハワイ,2024,4,2,29.5
ハワイ,2024,4,3,32.0
ハワイ,2024,4,4,32.5
ハワイ,2024,4,5,33.0
ハワイ,2024,4,6,34.0
ハワイ,2024,4,7,34.0
ハワイ,2024,4,8,32.5
ハワイ,2024,4,9,32.0
ハワイ,2024,4,10,32.0
ハワイ,2024,5,1,29.0
ハワイ,2024,5,2,33.0
ハワイ,2024,5,3,33.0
ハワイ,2024,5,4,33.0
ハワイ,2024,5,5,33.0
ハワイ,2024,5,6,32.5
ハワイ,2024,5,7,31.0
ハワイ,2024,5,8,31.5
ハワイ,2024,5,9,33.5
ハワイ,2024,5,10,35.5
ハワイ,2024,6,1,34.5
ハワイ,2024,6,2,33.5
ハワイ,2024,6,3,32.5
ハワイ,2024,6,4,33.0
ハワイ,2024,6,5,33.0
ハワイ,2024,6,6,33.5
ハワイ,2024,6,7,34.0
ハワイ,2024,6,8,33.5
ハワイ,2024,6,9,33.0
ハワイ,2024,6,10,33.0
ハワイ,2024,7,1,33.5
ハワイ,2024,7,2,33.0
ハワイ,2024,7,3,32.5
ハワイ,2024,7,4,32.5
ハワイ,2024,7,5,33.5
ハワイ,2024,7,6,33.5
ハワイ,2024,7,7,33.0
ハワイ,2024,7,8,33.0
ハワイ,2024,7,9,33.0
ハワイ,2024,7,10,33.5
ハワイ,2024,8,1,33.0
ハワイ,2024,8,2,35.0
ハワイ,2024,8,3,35.5
ハワイ,2024,8,4,33.0
ハワイ,2024,8,5,33.0
ハワイ,2024,8,6,33.0
ハワイ,2024,8,7,33.0
ハワイ,2024,8,8,33.0
ハワイ,2024,8,9,33.0
ハワイ,2024,8,10,32.5
ハワイ,2024,9,1,33.5
ハワイ,2024,9,2,33.0
ハワイ,2024,9,3,33.0
ハワイ,2024,9,4,33.5
ハワイ,2024,9,5,31.5
ハワイ,2024,9,6,31.0
ハワイ,2024,9,7,33.0
ハワイ,2024,9,8,33.0
ハワイ,2024,9,9,33.0
ハワイ,2024,9,10,33.0
ハワイ,2024,10,1,35.0
ハワイ,2024,10,2,33.0
ハワイ,2024,10,3,33.0
ハワイ,2024,10,4,33.0
ハワイ,2024,10,5,33.0
ハワイ,2024,10,6,33.0
ハワイ,2024,10,7,33.5
ハワイ,2024,10,8,33.5
ハワイ,2024,10,9,33.0
ハワイ,2024,10,10,33.0
ハワイ,2024,11,1,33.5
ハワイ,2024,11,2,33.0
ハワイ,2024,11,3,32.5
ハワイ,2024,11,4,33.5
ハワイ,2024,11,5,34.0
ハワイ,2024,11,6,36.0
ハワイ,2024,11,7,36.0
ハワイ,2024,11,8,33.0
ハワイ,2024,11,9,33.0
ハワイ,2024,11,10,33.0
ハワイ,2024,12,1,27.0
ハワイ,2024,12,2,28.0
ハワイ,2024,12,3,29.0
ハワイ,2024,12,4,34.0
ハワイ,2024,12,5,33.5
ハワイ,2024,12,6,33.0
ハワイ,2024,12,7,32.5
ハワイ,2024,12,8,32.5
ハワイ,2024,12,9,32.0
ハワイ,2024,12,10,32.0
ロサンゼルス,2024,1,1,33.5
ロサンゼルス,2024,1,2,37.5
ロサンゼルス,2024,1,3,37.5
ロサンゼルス,2024,1,4,33.0
ロサンゼルス,2024,1,5,33.0
ロサンゼルス,2024,1,6,35.0
ロサンゼルス,2024,1,7,35.0
ロサンゼルス,2024,1,8,33.0
ロサンゼルス,2024,1,9,33.5
ロサンゼルス,2024,1,10,33.5
ロサンゼルス,2024,2,1,46.5
ロサンゼルス,2024,2,2,35.5
ロサンゼルス,2024,2,3,37.5
ロサンゼルス,2024,2,4,52.0
ロサンゼルス,2024,2,5,53.0
ロサンゼルス,2024,2,6,42.0
ロサンゼルス,2024,2,7,39.5
ロサンゼルス,2024,2,8,39.0
ロサンゼルス,2024,2,9,36.0
ロサンゼルス,2024,2,10,33.0
ロサンゼルス,2024,3,1,44.0
ロサンゼルス,2024,3,2,43.0
ロサンゼルス,2024,3,3,35.5
ロサンゼルス,2024,3,4,33.5
ロサンゼルス,2024,3,5,34.0
ロサンゼルス,2024,3,6,39.0
ロサンゼルス,2024,3,7,42.0
ロサンゼルス,2024,3,8,36.5
ロサンゼルス,2024,3,9,33.5
ロサンゼルス,2024,3,10,35.0
ロサンゼルス,2024,4,1,28.5
ロサンゼルス,2024,4,2,31.0
ロサンゼルス,2024,4,3,36.0
ロサンゼルス,2024,4,4,37.5
ロサンゼルス,2024,4,5,35.5
ロサンゼルス,2024,4,6,33.5
ロサンゼルス,2024,4,7,33.5
ロサンゼルス,2024,4,8,34.0
ロサンゼルス,2024,4,9,33.5
ロサンゼルス,2024,4,10,42.0
ロサンゼルス,2024,5,1,32.5
ロサンゼルス,2024,5,2,36.0
ロサンゼルス,2024,5,3,38.5
ロサンゼルス,2024,5,4,40.5
ロサンゼルス,2024,5,5,37.0
ロサンゼルス,2024,5,6,32.5
ロサンゼルス,2024,5,7,32.0
ロサンゼルス,2024,5,8,34.5
ロサンゼルス,2024,5,9,39.5
ロサンゼルス,2024,5,10,41.5
ロサンゼルス,2024,6,1,43.0
ロサンゼルス,2024,6,2,40.0
ロサンゼルス,2024,6,3,38.5
ロサンゼルス,2024,6,4,39.5
ロサンゼルス,2024,6,6,42.5
ロサンゼルス,2024,6,7,43.5
ロサンゼルス,2024,6,8,42.0
ロサンゼルス,2024,6,9,39.5
ロサンゼルス,2024,6,10,36.0
ロサンゼルス,2024,7,1,44.5
ロサンゼルス,2024,7,2,43.5
ロサンゼルス,2024,7,3,42.5
ロサンゼルス,2024,7,4,39.5
ロサンゼルス,2024,7,5,38.0
ロサンゼルス,2024,7,6,36.0
ロサンゼルス,2024,7,7,42.0
ロサンゼルス,2024,7,8,48.0
ロサンゼルス,2024,7,9,44.0
ロサンゼルス,2024,7,10,40.0
ロサンゼルス,2024,8,1,40.0
ロサンゼルス,2024,8,2,35.0
ロサンゼルス,2024,8,3,36.5
ロサンゼルス,2024,8,4,37.0
ロサンゼルス,2024,8,5,34.0
ロサンゼルス,2024,8,6,36.5
ロサンゼルス,2024,8,7,38.5
ロサンゼルス,2024,8,8,40.0
ロサンゼルス,2024,8,9,41.0
ロサンゼルス,2024,8,10,37.0
ロサンゼルス,2024,9,1,38.5
ロサンゼルス,2024,9,2,43.5
ロサンゼルス,2024,9,3,41.0
ロサンゼルス,2024,9,4,33.5
ロサンゼルス,2024,9,5,33.0
ロサンゼルス,2024,9,6,33.0
ロサンゼルス,2024,9,7,33.0
ロサンゼルス,2024,9,8,33.0
ロサンゼルス,2024,9,9,33.0
ロサンゼルス,2024,9,10,34.0
ロサンゼルス,2024,10,1,47.0
ロサンゼルス,2024,10,2,48.0
