都市,日付,年,月,日,日射量_kWh_m2,推定日照時間_h
ハワイ,2024-01-01,2024,1,1,3.978,5.3
ハワイ,2024-01-02,2024,1,2,4.6094,6.15
ハワイ,2024-01-03,2024,1,3,4.3373,5.78
ハワイ,2024-01-04,2024,1,4,3.365,4.49
ハワイ,2024-01-05,2024,1,5,4.3133,5.75
ハワイ,2024-01-06,2024,1,6,4.4592,5.95
ハワイ,2024-01-07,2024,1,7,4.4546,5.94
ハワイ,2024-01-08,2024,1,8,1.5994,2.13
ハワイ,2024-01-09,2024,1,9,3.6314,4.84
ハワイ,2024-01-10,2024,1,10,4.6908,6.25
ハワイ,2024-01-11,2024,1,11,4.1789,5.57
ハワイ,2024-01-12,2024,1,12,4.3538,5.81
ハワイ,2024-01-13,2024,1,13,4.3949,5.86
ハワイ,2024-01-14,2024,1,14,4.957,6.61
ハワイ,2024-01-15,2024,1,15,4.9634,6.62
ハワイ,2024-01-16,2024,1,16,4.2,5.6
ハワイ,2024-01-17,2024,1,17,4.3123,5.75
ハワイ,2024-01-18,2024,1,18,5.1026,6.8
ハワイ,2024-01-19,2024,1,19,4.9865,6.65
ハワイ,2024-01-20,2024,1,20,4.7393,6.32
ハワイ,2024-01-21,2024,1,21,3.6696,4.89
ハワイ,2024-01-22,2024,1,22,4.6325,6.18
ハワイ,2024-01-23,2024,1,23,4.8401,6.45
ハワイ,2024-01-24,2024,1,24,3.275,4.37
ハワイ,2024-01-25,2024,1,25,4.9934,6.66
ハワイ,2024-01-26,2024,1,26,4.5,6.0
ハワイ,2024-01-27,2024,1,27,4.2012,5.6
ハワイ,2024-01-28,2024,1,28,3.024,4.03
ハワイ,2024-01-29,2024,1,29,3.0691,4.09
ハワイ,2024-01-30,2024,1,30,3.8218,5.1
ハワイ,2024-01-31,2024,1,31,4.4508,5.93
ハワイ,2024-02-01,2024,2,1,2.6894,3.59
ハワイ,2024-02-02,2024,2,2,4.607,6.14
ハワイ,2024-02-03,2024,2,3,3.8258,5.1
ハワイ,2024-02-04,2024,2,4,4.4364,5.92
